id,text,length,author
55,Kind of balances the books in a funny sort of way because we in Australia had to endure John McTernan from UK Labour as the chief strategist trying to keep Labor's Australian PM Julia Gillard in power. He resorted to plenty of subterfuge to try and prop Gillard up.,49,TimOfAltona
56,"Ian, I respect your point of view but the fact remains you cannot have uncontrolled migration across borders, particularly maritime borders without suffering the same horrific consequences you see in Europe today. The Abbott government policies enjoy a fair amount of support from countries in Europe who are suffering the massive social and financial cost of uncontrolled borders and migration. ",61,TimOfAltona
57,"As you well know, Rudd dismantled Howard's border protection policy and as you well know the result was a massive surge of people trying to reach Australia with onshore detention centres popping up all over the country and then were bursting at the seams and all the problems, riots etc, associated with that. The boats kept coming and coming, Indonesian and Pakistani people smugglers were turning into millionaires, people were regularly drowning at sea and Labor's popularity hit rock bottom. ",81,TimOfAltona
58,"Are we all happy with how they have gone about it? No. But it is working. The incentive to try to reach Australia by boat has been largely removed, the offshore &amp; onshore detention centres will be closed down (as they were under Howard) and Australia can enjoy an orderly and controlled refugee intake program which welcomes and assimilates thousands of genuine refugees each year.",65,TimOfAltona
59,1. Those who were pissed off that the coalition used this topic to win the last election and desperately want the policy to fail- just so they can say Abbott deceived Australia. It tears them apart that the scoreboard looks like this - ,44,TimOfAltona
60,2. Those who actually agree that the government has done a great job in shutting down people smugglers and preventing deaths at sea but have to maintain a confected attack on the government in order to 'stay in the circle'of their fellow Labor/Greens cheer squadders ,46,TimOfAltona
61,3. The bitter and twisted 'I'm on a mission' group - those who have since 9pm Sept 7 last year constantly attacked the PM and the government on anything and everything that arises as 'payback' for their large election loss. This grouping are easy to identify. ,47,TimOfAltona
62,"4. Those who genuinely believe that Australia should open up our borders and welcome and financially support anyone and everyone who can make it here by any means and claim asylum, even if it means hundreds of thousands attempt the journey each year. All offshore processing stopped and everyone can freely enter the community on arrival. This group turns a blind eye when the inevitable deaths at sea occur and pretend they did not happen. Greens? ",77,TimOfAltona
63,5. Those who have  empathy (not a politically motivated one) for the plight of the asylum seekers who try to come here by boat and want/expect the government to treat them with compassion and dignity within the framework of the existing policy. ,44,TimOfAltona
64,"Please enlighten us as to who would be replacing the government - the hapless, directionless, leaderless ALP; the increasingly irrelevant Greens or perhaps you are a PUP supporter? Can't really see any of those three up to the job now or in 2.5 years time IMHO.",46,TimOfAltona
65,We have a generous asylum migration program in place allowing thousands of displaced people to start a new life in Australia by going through the correct channels and being welcomed by the Australian community. ,35,TimOfAltona
66,There is no truth to the rumour that the Senate dress code had to be amended to cater for some of the newly elected cross bench senators -  ,30,TimOfAltona
67,"Ian, this one has been thrashed over and over again for months - it is not illegal to seek asylum but it is illegal to enter Australia on people smuggling boats without visas or identification, hence they are detained in processing centers if they can make it here without drowning along the way. ",54,TimOfAltona
68,"No, those coming by illegal boats and did not drown along the way would have been sent to Manus or Nauru where they would have been processed and settled in a third safe country.  ",36,TimOfAltona
69,"These people did not set off from Sri Lanka - they set off from Southern India where there is no Tamil persecution. True, many Sri Lankan Tamils live in camps, but they are safe to go about their business and earn a living for themselves and their families. The Tamil governer of Tamil Nadu is moving towards granting all Sri Lankan Tamil refugees Indian citizenship. ",66,TimOfAltona
70,We should note that  person on that boat was assessed as having a case to apply for refugee status and was given the opportunity to stay with Australian authorities &amp; have their case processed in Nauru or Manus - that person elected to return to Sri Lanka. ,49,TimOfAltona
71,Makes you wonder what marketing material is being used by people smugglers to entice people onto these boats - refugee advocate Ian Rintoul seems to be across what's going on here given people from the boats are in contact with him while they are at sea. ,47,TimOfAltona
72,Good to see the government holding firm on it's resolve and commitment to maintain border security to deter people smuggling operations. The people on board went through the accepted screening process and have been returned to their country of origin. ,41,TimOfAltona
73,"Remember, these people departed the relatively prosperous Tamil state of Tamil Nadu in Southern India home to tens of millions of Tamils - one could easily reach the assumption they were heading to Australia not to escape persecution but for economic reasons. This aspect would have formed part of the screening process and the decision to return them to their homeland. ",62,TimOfAltona
74,The lefties just hate the thought the Coalition have been successful where Labor failed dismally particularly as it was a key election issue - and Morrison successfully did the job Labor were incapable of. ,35,TimOfAltona
75,"Not a bad summation at all Katharine - the ball is fairly and squarely in the government's court now to turn around the polls and public perception they have moved too quickly on fiscal reform and left reasonably large swarths of the community behind. They have plenty of time to achieve this, but need to be seen to be heading in this direction. ",64,TimOfAltona
76,"As for Labor, well as you say Bill can't believe his luck - here they were expecting to be in opposition for at least another term or two and suddenly he gets a sniff which will embolden him to try and start acting all statesman like. Can he pull it off? Unlikely - way too much ALP civil war baggage around his neck in my opinion. Labor will need to resolve their leadership conundrum, the perception they are tied to the bootlaces of the unions and their love/hate relationship with the Greens before they are ready to take back government. ",101,TimOfAltona
77,"So you would prefer our elected government does nothing - simply allows people to come and go as they please - this is no fear campaign, international terrorism is a constant threat.",32,TimOfAltona
78,"Shorten will never be a PM - you know it, I know it and pretty much the rest of Australia knows it - except maybe a few hopefuls down at the CFMEU.",32,TimOfAltona
79,This is one left wing journo's opinion - many people disagree with him and applaud the government's success in shutting down the people smuggling trade and saving countless lives along the way.,32,TimOfAltona
80,"By all accounts the Tamil tigers gave as good as they got and by some reports more - not defending the Sri Lankan government, but it was hardly a one-way street as you make out - atrocities and human rights abuses were committed by both sides.",46,TimOfAltona
81,"Sarah Hanson-Young - wants everyone who claims to seek asylum automatic entry - hell, the Greens will even charter a flotilla of luxury passenger liners to go to Indonesia and empty out all the camps and bring everyone back to Australia - that's who.",44,TimOfAltona
82,"Good to see Alan Jones still dominating Sydney airwaves. Like him or loath him, he does not hold back on his views and Sydney siders embrace him for it. ",30,TimOfAltona
83,"Yep, disagreed when he dumped Steve Bracks for the NY Consul General post last Sept - should have left Bracksy in the role, he would have done a fine job. ",31,TimOfAltona
84,"Also, disagree when he and other ministers use the term 'mandate'. That word is sure to rile anyone opposed to the policy and is easily shot down in flames. No government has a mandate on anything unless there is a referendum held on a particular issue. ",47,TimOfAltona
85,Funny thing about all this is had Muir gone the other way on Arena they would be attacking him with grubby and offensive remarks not unlike the ones they bestow on the PM. ,34,TimOfAltona
86,"In the greatest traditions of Australian Labor, where Julia Gillard was not allowed to speak unless John McTernan pre-scripted her - who is scripting Muir? He sure as hell ain't coming up with this stuff all by himself. ",39,TimOfAltona
87,They use any platform to throw confected punches at the PM and government - they are all desperately trying to link Tony Abbott to Japan's atrocities during WWII - fail.,30,TimOfAltona
88,Mock professor Sloan at your leftist peril. I put it to you she knows a tad more about economic matters than your good self - your problem is she is not on 'your side' so you endeavor to take her down in the finest traditions of the Labor/Greens cheer squad.,50,TimOfAltona
89,"Your point is valid, however there is another very sad side to this equation which is overlooked - how about start posting the photographs of the hundreds of 'Ferminas' who have drowned at sea coming to Australia on people smuggler boats? ",42,TimOfAltona
90," Where are the cries of 'never again will we allow men, women and children to die at sea in their hundreds whilst travelling to Australia in people smuggler boats'? ",31,TimOfAltona
91,The Greens and the lefties using this topic to try and land blows on the government need to take a good look at themselves and at least acknowledge that the government's policies have saved possibly countless lives.,37,TimOfAltona
92,That has to be one of the worst pieces of journalism we've seen in recent times -I bet Andrew Street mulled over whether or not to include such a weak attempt at humour into the narrative or not - unfortunately for him he included it.,45,TimOfAltona
93,Can't understand why the cheer squad are fawning all over him - as though he is the great messiah who can land blows on the Abbott government on their behalf?  ,32,TimOfAltona
94,Clive can enjoy his 5 minutes of soaking up the adulation from an adoring Labor/Greens cheer squad but a word of warning Clive - as soon as you revert to your conservative roots and herd your cabal of senators into the blue corner the Labor/Greens supporters will start tearing you apart in these threads...it won't be a pretty sight.,59,TimOfAltona
95,"Longers, I deeply respect your views and compassion when it comes to Australian diggers and the atrocities they experienced at the hands of the Japanese in WWII - my father fought the Japanese advance whilst serving as an officer with the 10th Ghurka Rifles in the jungles of Burma and I assure you I can well relate to some of the horror stories coming out of that period - but mate, it was a long time ago and the world really has moved on - using Abe's visit to Australia as a platform to knock Abbott over Japan in WWII is drawing a very long bow - Abbott has said no more or no less than any other Australian PM, Labor or Liberal since the end of the war - Abe's grandfather was Japan's PM after the war and was warmly welcomed in Australia even back then. I think in 2014 it is well and truly time to move on.",160,TimOfAltona
96,"Bit rich coming from a person who will never be a Foreign Affairs minister to person who is a serving Foreign Affairs minister - with the greatest of respect to Ms Plibersek, she knows stuff all about international politics and relationships. ",42,TimOfAltona
97,"Let the Labor/Greens cheer squad enjoy the moment, but this charade will all end in tears for Clive and his PUP puppet senators - what's the betting the senators are around longer in politics than Clive?",36,TimOfAltona
98,Any genuine asylum seekers ie fleeing persecution or worse (hard to imagine given they came from Tamil Nadu) can go to Manus or Nauru for processing and resettlement in a third country or voluntarily return to their prosperous Tamil state in India. ,43,TimOfAltona
99,I read recently that the Tamil governer of Tamil Nadu is moving towards granting Indian citizenship for Sri Lankan Tamils relocating to Southern India - this gives them the same rights for them and their families to work and ability to start businesses etc.,44,TimOfAltona
100,Your point about bias against the Japanese is valid - probably because the Scandinavian countries don't hunt and kill their whales in or near Australian waters - out of sight out of mind so to speak.,36,TimOfAltona
101,Time to finally accept that your side has lost this debate. Australians are backing Morrison and his achievements in shutting down the people smugglers and stopping drownings in their tracks. ,31,TimOfAltona
102,"Tough for you I know, but rest assured that the off shore detention centres will one day be empty and shut down - Christmas Island as well - as much as that disturbs you to see a major government win, it is a good thing for everyone involved. ",49,TimOfAltona
103,The Global Times do not represent the views of the Chinese government cheer squadders - it is a column by a journalist from this chinese media outlet expressing his opinion. The Global Times write critical stories about many governments around the world including in the past the Rudd/Gillard/Rudd debacles. ,50,TimOfAltona
104,Good to see the Coalition and PUP look like finally getting this carbon tax repealed whilst putting the Labor/Greens senate team back in their kennels where they deservedly belong. ,30,TimOfAltona
105,Valid observation - but my contention is that had Murdoch backed Gillard &amp;/or Rudd ot let's just say the ALP over the Coalition and irrespective of the election outcome these threads about Murdoch would be almost void of any criticism or the swarth of grubby remarks you see in here today. ,52,TimOfAltona
106,Murdoch was not responsible for the ALP losing last September - nor was Tony Abbott - Labor themselves were to blame as per the findings of the recent ALP internal review of last year's defeat. ,36,TimOfAltona
107,"I agree, we only want media owned/controlled by left wing organisations in this country - that way we can all enjoy a few rousing bars of while we munch on our morning weetbix whilst looking up at the mandatory portrait of the ALP leader on the kitchen wall. ",49,TimOfAltona
108,But seriously - it matters not who owns Australian media - they will still call out a bad government when it is a bad government - and at any examination the Rudd/Gillard/Rudd governments were hopelessly dysfunctional and the ALP paid the price.,42,TimOfAltona
109,He's spot on about the Rudd-Gillard-Rudd civil wars government - all Australia knows it was a dysfunctional rabble during those years (with a few exceptions) and was deservedly shown the door to opposition where they shall remain for at least another 2 terms. ,44,TimOfAltona
110,The sooner the Labor/Greens cheer squad acknowledge they were backing the wrong horse and move on to try and rebuild their shattered parties the better off they and their respective parties will be.,33,TimOfAltona
111,Of course the Labor/Greens cheer squad will attack anything to do with Murdoch - for he did not back their team last year when they lost in spectacular fashion. ,30,TimOfAltona
112,Bottom line here is that Campbell is leading an operation that has successfully shut down the insidious people smuggling trade perhaps saving hundreds or thousands of souls from drowning. Campbell enjoys the support of millions of Australians. ,38,TimOfAltona
113,Can't for the life of me understand why the Labor/Greens supporters denounce that - I don't for a moment think they would rather see people drowning at sea - but I would like just one of them to explain how else do you stop people drowning at sea in people smuggler boats apart from stopping the boats leaving in the first place? ,63,TimOfAltona
114,Here I was thinking 'Centreline' would be the first cheer squadder to admit that lives have been saved - but no - can't bring himself to do it - that would look too much like acknowledging the success of the government and that would  do in a Guardian thread.,50,TimOfAltona
115,He has done an excellent job in shutting down the people smugglers and saving countless lives - a pity he was not around when people were drowning in their hundreds after the Rudd Labor government started up the people smuggling trade again and carried on under the Gillard Labor/Greens government. ,51,TimOfAltona
116,"I know many left wing supporters don't like to see the success of Operation Sovereign Borders but I live for the day when  of the cheer squad admit that maybe, just maybe lives have been saved since boats stopped departing Indonesia and that is wholly a good thing. ",50,TimOfAltona
117,"33,000 feet in the air is hardly in a war zone and dozens of commercial planes follow the same flight path between Asia and Europe each day. Who would have guessed the Russians had handed over sophisticated surface to air missiles to allow the separatists to shoot down planes? ",50,TimOfAltona
118,Grubby personal comments aimed at a person's appearance means you instantly lose the argument. It means you have nothing left in your locker except personal abuse. Sums up many of the Labor/Greens cheer squad unfortunately.,35,TimOfAltona
119,The stupidity of all this is it is the left wing refugee advocates who are prolonging the wait at sea for these peole while they try to force through the High Court for Australia to take them. ,38,TimOfAltona
120,These people would be far better off returning to the freedom of Tamil Nadu than being forced to go into the off shore detention centres that the Greens seem intent on sending them to.,34,TimOfAltona
121,I see that Tamil Governer Rosahiah of this state is working on giving Sri Lankan Tamil refugees Indian citizenship to assist with their integration with the 70 odd million Tamil speaking citizens of this prosperous Indian state.,37,TimOfAltona
122,Why is it that the Labor opposition constantly undermines the government at every possible opportunity? They may have different ideas but this is unprofessional behaviour that would be unacceptable in any other workplace. ,34,TimOfAltona
123,LOL - the Australian Labor/Greens cheer squad desperately concerned the PM will come out of this with an enhanced global reputation and he and Bishop may actually be credited with bringing our dead home - sleepless nights ahead for the cheer squad as they grapple with this awkward situation they find themselves in. ,54,TimOfAltona
124,Abbott and Bishop are doing what we expect the Australian government do - it may irk the Labor/Greens cheer squad that they are making progress &amp; receiving recognition on the world stage - but bottom line is we want the dead home and we want them home now. ,49,TimOfAltona
125,For the people not from Australia reading this blog 'Yamba' is part of a group called the Labor/Greens cheer squad who infect the Guardian threads with grubby comments against the Australian government as payback for the devastating loss their political party experienced last year - nearly wiped out - so this is part of their campaign of vilification and retribution. ,61,TimOfAltona
126,The government can safely adopt the Hockey sponsored productivity report final recommendations once they come out later this year which will probably see a watering down of the paid parental scheme and funds channelled into early childhood reform. ,39,TimOfAltona
127,Sussan Ley is a class operator and correct when she says this is a once in a generation opportunity for reform. I would expect the government to adopt most if not all of the final recommendations later this year. ,40,TimOfAltona
128,A good friend friend of mine who lives in QLD tells me Newman has tried to do too much too quickly - changing the world overnight and he has managed to leave some people behind with some decisions. I suspect he will slow down the pace of change to better reflect community expectations. ,54,TimOfAltona
129,Time for the Labor/Greens cheer squad to take stock of their crass insensitivity to people dying and being killed just so they can try and land confected blows against the government. ,32,TimOfAltona
130,Read some of the posts from your mob in this thread attacking Abbott for doing the job he should as PM over this tragedy and then come back to us with an apology.,33,TimOfAltona
131,Good to see Abbott taking a world leadership position on pressuring Russia to allow access to the crash site. Abbott and Bishop are leading the charge on behalf of the relatives of the murdered Australians as well as all the other nationalities - exactly what we expect of our PM. ,51,TimOfAltona
132,"Can't see that happening myself, still over 2 years to go before the next election and plenty of time for the polls to turn around which they undoubtedly will as Abbott's policies gain traction and Labor's mismanagement of our economy is reversed by the new government. ",47,TimOfAltona
133,"What a load of crap. Your greatest fear is that Abbott gets the recognition he deserves for doing all he can to bring the dead Australians' home - you put your cheap political point scoring ahead of the deaths of Australian men, women and children and the grieving of their relatives. ",52,TimOfAltona
134,"The Greens already have enough power - they keep the Labor party afloat - in fact without the Greens, Labor would be lucky to cobble together a dozen seats in the Lower House. ",34,TimOfAltona
135,Australians do not want a union puppet leading this country - we were all bitten by the Gillard experiment and it all turned to tears for both Labor and the country. ,32,TimOfAltona
136,The separatists are no match for NATO and would be advised to allow the teams to go about their work at the crash site - unless they have plenty to hide.,31,TimOfAltona
137,Ignore Piggy - he's an active member of the Australian Labor/Greens cheer squad - they received a massive defeat at the last election and are out for retribution any way they can manufacture it....Geldorf crticises the Australian government - he is immediately a friend of the Labor/Greens cheer squad - they dive into these threads to protect him. ,59,TimOfAltona
138,"Gee Bob, maybe it has something to do with Labor blowing all our cash reserves and we have to borrow money from overseas to fund foreign aid programs and then pay a billion dollars a month in interest payments.",39,TimOfAltona
139,"One thing is crystal clear - the Labor/Greens cheer squad just hate seeing Labor's dirty laundry aired in public - make no mistake, there are semi-trailer loads of dirty laundry to be aired. ",34,TimOfAltona
140,"Some what off topic, but it is passing strange that comments have not been opened up on the Julia Gillard handing over her Prime Ministership to Greg Combet story. Why not Guardian? ",33,TimOfAltona
141,"Yes, the absolute cruelty of preventing perhaps a thousand more deaths at sea since last September is unfathomable - just can't comprehend how cruel that policy is...all those lives saved.",30,TimOfAltona
142,I don't think Mr Bean gets it - Australia does not have the ability to keep borrowing money  overseas only to send it  overseas as foreign aid and be left standing with an interest bill of a billion dollars a month to cover it. ,47,TimOfAltona
143,"Labor may have looked good for a while with their smoke and mirrors budgets, but sooner or later we have to actually pay that money back that Labor kept on borrowing and reduce the debt. ",36,TimOfAltona
144,The current group on board the customs vessel did not have a man with a gun at their head when they departed for Australia. They came from the relatively prosperous Tamil state in Southern India. They were not escaping fearing for their lives or escaping persecution - 70 million people live happily in Tamil Naidu... they were coming to Australia hoping to tap into our welfare system and perhaps get a job and perhaps give their families a better head start in life - there are tens of millions queued up behind them wanting to do the same thing.,99,TimOfAltona
145,"The other news is that the Tamil Governor of that state is attempting to legislate for Sri Lankan Tamil refugees to be granted Indian citizenship to help them integrate and give them equal rights for employment, health care &amp; education.",40,TimOfAltona
146,"Yes - people smugglers do exist in the  world and yes, people hoping to bypass the UNHCR program and get to Australia by illegal boat do pay people smugglers for the service. ",34,TimOfAltona
147,"The people 'crewing' the boats are not the people smugglers - they are being paid by the people smugglers to do the job - the people smugglers have made millions of dollars and a % of this goes to the corrupt police, military and assorted Indonesian government officials who are also on the payroll to facilitate the safe departure of the boats from Indonesia. ",65,TimOfAltona
148,"Also, many of the people paying people smugglers are not genuine asylum seekers - they are economic migrants looking to tap into Australia's welfare system and with any luck get a job here. ",34,TimOfAltona
149,"You pretty much have to go back to the Labor government under Kevin Rudd that opened up our borders and got the people smuggling industry back on it's feet. Tens of thousands of people climbed into people smuggler boats and headed for Australia, many hundreds drowning along the way. ",50,TimOfAltona
150,"The new government came in to fix up Labor's mess and is making good progress - the ultimate aim is to close down all processing centres, on and off shore. This will be achieved by stopping the boats - so far so good on that front - much to the annoyance of the Labor cheer squad who wanted the boats to keep arriving just so they could come into the Guardian threads and proclaim yet another Abbott promise broken. Good to see that little piece of enjoyment has been denied. ",91,TimOfAltona
151,Thank you Longers - at last a Labor supporter who acknowledges that the government is doing the right thing in it's efforts to bring our dead home to their families. ,31,TimOfAltona
152,"Pretty much all the other's are attacking Abbott and Bishop with confected abuse over the handling and response to the tragedy. I guess their key issue is that they want it to be a  PM doing all this, not a Liberal and they can't bring themselves to acknowledge that Abbott and co have done a bloody good job so far in doing everything we can to help the families and bring their deceased loved ones home. ",78,TimOfAltona
